videoname,time,label
video_validation_0000051,65.14415532320913,Background
video_validation_0000051,86.04502824439277,Background
video_validation_0000051,131.32219720970318,Background
video_validation_0000052,6.339112956905594,Background
video_validation_0000053,1.5984221892161872,Background
video_validation_0000053,24.50514942898967,Background
video_validation_0000053,39.66281246645857,Background
video_validation_0000053,41.450589974676454,Background
video_validation_0000053,66.12288608653077,Background
video_validation_0000053,73.04160424527626,Background
video_validation_0000053,80.66013333069536,Background
video_validation_0000053,93.30606831064463,Background
video_validation_0000053,107.58843632353349,Background
video_validation_0000053,127.9579936015989,Background
video_validation_0000053,144.9042773270152,Background
video_validation_0000054,73.72385928661662,Background
video_validation_0000054,129.59575312017557,Background
video_validation_0000055,10.736256739796186,Background
video_validation_0000055,44.234869374712744,Background
video_validation_0000055,62.66501667175238,Background
video_validation_0000055,70.73319431582347,Background
video_validation_0000055,82.84701681530804,Background
video_validation_0000055,97.8220410896148,Background
video_validation_0000055,100.97165579009767,Background
video_validation_0000055,120.66759973860458,Background
video_validation_0000055,132.40596563038326,Background
video_validation_0000056,15.167322652723913,Background
video_validation_0000056,27.118120891318693,Background
video_validation_0000056,41.8961906871367,Background
video_validation_0000056,60.691895667234675,Background
video_validation_0000056,67.73213359351972,Background
video_validation_0000056,81.44473145665188,Background
video_validation_0000056,92.67275195250068,Background
video_validation_0000056,98.63960320384463,Background
video_validation_0000057,5.215145049766112,Background
video_validation_0000057,13.967333157050803,Background
video_validation_0000057,60.52445974165605,Background
video_validation_0000057,78.56875574578808,Background
video_validation_0000057,91.21544871317552,Background
video_validation_0000057,103.81159661971715,Background
video_validation_0000057,115.95282135244875,Background
video_validation_0000057,127.2069711060345,Background
video_validation_0000057,146.0392395429645,Background
video_validation_0000057,161.8903171613659,Background
video_validation_0000057,166.9299362729086,Background
video_validation_0000057,196.6885726996677,Background
video_validation_0000058,9.552675438693166,Background
video_validation_0000058,79.03939308544912,Background
video_validation_0000058,108.43996671337011,Background
video_validation_0000058,123.2985990144932,Background
video_validation_0000058,121.28121190042883,Background
video_validation_0000059,2.8461512108437876,Background
video_validation_0000059,24.818590221967796,Background
video_validation_0000060,19.801443546725388,Background
video_validation_0000060,41.044140340671255,Background
video_validation_0000060,59.89095615786066,Background
video_validation_0000060,74.3381966036567,Background
video_validation_0000060,86.60328338187699,Background
