videoname,time,label
video_4,3.1106081032834183,Background
video_5,3.2701940665804923,Background
video_6,0.007609624449125756,Background
video_6,83.05883893953587,Background
video_7,2.2587222712813486,Background
video_7,28.305433873373183,Background
video_8,9.097683692133765,Background
video_10,0.004327670679050534,Background
video_10,143.11892444900815,Background
video_12,2.3496953828323477,Background
video_14,1.0810473534545775,Background
video_14,92.23424168233892,Background
video_15,23.630497130379965,Background
video_17,0.16064352739716953,Background
video_18,0.2662957451058467,Background
video_19,0.9216594929437489,Background
video_19,33.713907606923584,Background
video_19,49.93641440820229,Background
video_19,51.223046554009336,Background
video_25,28.896581980785985,Background
video_25,160.13078842029114,Background
video_26,14.634489239692654,Background
video_26,154.6835909394245,Background
video_28,22.502260184316928,Background
video_28,93.65730657774375,Background
video_29,2.8153676011541195,Background
video_29,99.63273560394322,Background
video_29,114.08905356778777,Background
video_29,129.37754618900223,Background
video_34,1.5431385767283539,Background
video_34,135.37676349474557,Background
video_40,31.561159480133785,Background
video_40,119.89902150506825,Background
video_40,217.21719905089864,Background
video_44,0.8760311816507675,Background
video_45,1.417566839299478,Background
video_45,81.67455505356533,Background
video_46,52.69466224507772,Background
video_51,12.091116026034173,Background
video_51,97.743909848406,Background
video_52,0.18805403752048083,Background
video_52,16.795017299031276,Background
video_55,0.0,Background
video_56,24.657027393434518,Background
video_56,208.46718503926505,Background
video_57,1.0108068354787274,Background
video_57,149.9878003555695,Background
video_59,26.869930455619098,Background
video_59,182.3457137001644,Background
video_60,8.768490899795555,Background
video_62,0.0,Background
video_64,3.578920016661189,Background
video_67,50.78665647996064,Background
video_67,179.0929413880429,Background
video_68,0.009097550158894022,Background
video_68,124.18010905125965,Background
video_73,6.2899002091978025,Background
video_73,24.23699550071901,Background
video_73,105.81899353315248,Background
video_73,151.23281201929498,Background
video_73,169.38016236441354,Background
video_74,0.005186782835230021,Background
video_75,5.7437534930778265,Background
video_76,6.871817809036299,Background
video_78,2.8717193439959297,Background
video_78,6.151501939761804,Background
video_78,8.520021195637906,Background
video_80,3.0909878661865178,Background
video_80,90.4388790728399,Background
video_81,70.30279538576085,Background
video_83,3.165913506857122,Background
video_83,154.30427911625208,Background
video_84,1.098397772359505,Background
video_87,18.805010396973387,Background
video_88,0.5984746445418471,Background
video_88,63.180642171746776,Background
video_89,3.9408983753804456,Background
video_90,2.76173881652598,Background
video_93,0.08661202485527691,Background
video_93,34.25451917468181,Background
video_95,2.5156749320467218,Background
video_100,0.545732141146723,Background
video_101,4.075142176699862,Background
video_101,101.71651018759218,Background
video_102,14.099772225121223,Background
video_102,39.48967491521083,Background
video_102,87.94701754261416,Background
video_102,99.21917211142194,Background
video_102,104.95207969470768,Background
video_104,1.6637920313169852,Background
video_104,80.02168101753297,Background
video_105,6.117511107019108,Background
video_105,34.2842511197268,Background
video_106,14.62236839107822,Background
video_107,80.38287088679843,Background
video_107,110.25229557959734,Background
video_108,41.22491427330595,Background
video_109,0.007188354727617898,Background
video_115,13.963984551945519,Background
video_116,40.73550772707528,Background
video_116,90.6404045681047,Background
video_119,7.311525487843527,Background
video_119,125.49170353474008,Background
video_121,0.9206143589153453,Background
video_121,47.93855113601353,Background
video_123,4.185632540413645,Background
video_123,142.9808011375658,Background
video_126,107.85111866981092,Background
video_127,0.37301921212579026,Background
video_127,59.470455157922906,Background
video_129,80.08974126163046,Background
video_129,118.835742760075,Background
video_134,0.6938503116848018,Background
video_134,179.10973904365426,Background
video_135,4.384920623297098,Background
video_136,7.467883482809624,Background
video_137,1.7830265449713951,Background
video_137,81.75873965004536,Background
video_138,4.4556062302044115,Background
video_139,4.327379635822912,Background
video_139,135.30005344893578,Background
video_140,2.7252259385495075,Background
video_140,58.56093748693634,Background
video_142,36.06455664620157,Background
video_142,158.9275055904174,Background
video_142,228.4562091478204,Background
video_143,7.197732047689924,Background
video_143,151.57986253301772,Background
video_145,4.95407551823326,Background
video_146,1.6926366177256778,Background
video_147,1.2869317758966876,Background
video_152,2.988833648202329,Background
video_154,99.32494666480846,Background
video_154,216.13065714341766,Background
video_159,0.0,Background
video_159,36.73185589395187,Background
video_160,0.0,Background
video_164,0.6207159066491389,Background
video_167,20.234733108991513,Background
video_168,1.0313585464290413,Background
video_170,3.656154082485694,Background
video_170,78.50210982232693,Background
video_176,0.0677703162137944,Background
video_176,11.328225186061863,Background
video_177,34.09391881768674,Background
video_178,0.6070240016990586,Background
video_178,57.59401324258475,Background
video_180,8.937298155927415,Background
video_181,0.23087912456219525,Background
video_181,129.64131948038738,Background
video_187,35.16417952634701,Background
video_188,2.721578564110132,Background
video_188,66.12496546288557,Background
video_190,1.2105010485041041,Background
video_190,89.2685087385964,Background
video_191,13.461209790544414,Background
video_192,21.189422979477712,Background
video_192,137.0409662129011,Background
video_193,6.811803415315119,Background
video_195,0.0010773068507771689,Background
video_195,19.741417137311288,Background
video_196,0.002476348897333325,Background
video_196,23.08318058585988,Background
video_197,7.54536581514958,Background
video_199,1.013445050364127,Background
video_201,1.5581155875413284,Background
video_201,92.56707885816508,Background
video_203,0.7040008649681182,Background
